DD,Pick Time Boi5,Drop 1,Drop 2,Drop 3,Drop 4,Drop 5,Drop 6
113,01:40:00 AM,La Grande 4:53 pst,Enterprise 6:47 pst,Joseph 7:28,,,
114,02:20:00 AM,Five Mile 4:00,ShoShone 6:31,Filer 7:47,,,
106A,01:20:00 AM,Soda Springs 7:10,,,,,
106B,02:30:00 AM,Sun Valley 6:16,Hailey 6:50,Bellevue 7:13,Fairfield 8:31,,
107A,01:40:00 AM,Arco 6:06,Rigby 7:54,,,,
108A,01:40:00 AM,Idaho Falls  7:20 875 N Capital,Iona 7:43,,,,
108B,03:00:00 AM,16_ft  Challis 7:51,,,,,
108B,03:10:00 AM,16_ft Cove 7:17 pst,,,,,
109A,03:20:00 AM,Baker City 5:45 pst,North Powder 6:22,Elgin 7:53,,,
109B,04:40:00 AM,16_ft Vale 7:00,,,,,
110A,03:50:00 AM,Cascade 6:37,Donnelly 7:13,Mccall 7:49,,,
110B,04:40:00 AM,16_ft Haggerman 7:03,,,,,
111A,03:00:00 AM,Cole 4:13,Buhl 6:47,Twinfalls 7:23,Kimberly 7:50,,
112A,04:40:00 AM,Eagle 6:02,Horseshoe Bend 6:42,Garden Valley 7:49,,,
115A,02:30:00 AM,Caldwell 4:05,Praire City 6:30 pst,John Day 6:59,Mount Vernon 7:12,Canyon City 7:45,
116A,02:50:00 AM,Meridian 4:02,Burns 7:23pst,Hines 7:49pst,,,
117A,03:30:00 AM,Boise Main 4:33,Weiser 6:00,Cambridge 6:46,Council 7:54,,
118A,03:40:00 AM,Kuna 5:06,Middleton 5:54,Parma 6:48,Nyssa 7:15,New Plymouth 7:46,
119A,04:10:00 AM,Nampa 5:36,Idaho City 7:00,,,,
317A,01:20:00 AM,Idaho Falls 7:00 605 4TH ST,,,,,
317B,02:40:00 AM,Hazelton 6:00,Paul 6:39,Rupert 7:02,Heyburn 7:25,Burley 7:40,Murtaugh 8:23
318A,01:40:00 AM,Blackfoot 7:03,Firth 7:30,Shelley 7:50,,,
318B,03:30:00 AM,Elko 8:05 pst,,,,,
319A,02:10:00 AM,Aberdeen 6:56 ,Oakley 9:21,,,,
319B,03:30:00 AM,Wells 7:55 pst,,,,,
320A,02:00:00 AM,American Falls 6:35,Pocatello 7:21,,,,
320B,03:50:00 AM,Halfway 7:46 pst,,,,,
321A,02:10:00 AM,16_ft Grace 7:50,,,,,
321B,03:40:00 AM,Mountain Home 5:16,Gooding 6:37,Wendell 7:24,Jerome 7:50,Hansen 8:45,
322A,02:30:00 AM,Winnemucca 7:40 pst,,,,,
322B,04:00:00 AM,Star 5:33,Emmette 6:26,Fruitland 7:15,Ontario 7:33,Payette 7:54,
323A,03:40:00 AM,Garden City 4:56,Haines 6:35 pst,Union 7:43 pst,,,
323B,04:40:00 AM,Overland 5:41,Marsing 6:37,Melba 7:48,,,
